0.44065,-0.55117,0.49005,-0.56885,2.0774,0.19454,-0.52565,1.5375
0.42575,-0.38558,0.29329,-0.38675,-0.40618,0.29596,-0.55323,0.067263
0.044554,-0.16149,-0.012489,-0.16246,-0.12664,0.028945,-0.044955,-0.071047
-0.018656,-0.24811,0.097112,-0.23846,-0.12886,0.099544,-0.15277,-0.077275
-0.0095714,-0.33585,0.1759,-0.44105,-0.15748,0.17897,-0.22955,-0.075339
0.4747,-0.72999,0.30655,-0.43274,-0.81747,0.44572,-0.34395,0.055393
-0.26048,-0.51386,0.36672,-0.38094,-0.20697,0.35255,-0.42969,-0.042097
-0.030519,-0.30043,0.078812,-0.33613,0.13949,0.1353,-0.29251,-0.093966
0.0036966,-0.39298,0.067552,-0.45576,0.17311,0.12939,-0.18251,-0.10936
0.36271,-0.33612,0.22908,-0.63512,-0.080608,0.31955,-0.27547,0.052593
0.0029712,-0.56293,0.36433,-0.53058,-0.31713,0.29328,-0.35889,-0.11644
0.041423,-0.24685,0.038642,-0.32733,-0.1787,0.11809,-0.14558,-0.043417
0.0072693,-0.23267,-0.022237,-0.35056,-0.12031,0.069677,-0.04953,-0.10031
0.016471,-0.28751,-0.017632,-0.3583,0.49739,0.11529,-0.13201,-0.085031
-0.010667,-0.32028,0.037262,-0.32972,0.40101,0.19798,-0.18363,-0.095225
-0.087869,-0.1282,-0.033594,-0.14555,0.24184,-0.008615,-0.03804,-0.097709
-0.048794,-0.11446,-0.031034,-0.15356,0.028981,0.0046043,-0.048185,-0.060756
0.010079,-0.21129,-0.02542,-0.20628,-0.093434,0.040418,-0.097515,-0.095273
0.13745,-0.36593,0.046726,-0.51354,0.17109,0.21768,-0.20306,-0.0009359
-0.10496,-0.19835,-0.031224,-0.20893,0.057823,-0.030666,-0.036776,-0.068535
-0.022721,-0.066328,-0.034601,-0.10507,-0.089339,-0.047304,-0.0063938,-0.047326
-0.09481,-0.13849,-0.039367,-0.16269,-0.073598,-0.038652,-0.0034801,-0.10338
0.11721,-0.4248,-0.01707,-0.40229,0.27778,0.077233,-0.14415,-0.009565
-0.089932,-0.069967,-0.031934,-0.089154,0.029507,-0.048165,0.016024,-0.10418
-0.026023,-0.012702,-0.012701,-0.022661,0.015813,-0.041877,0.016775,-0.066508
-0.095655,-0.024655,-0.025608,-0.039881,0.12844,-0.057386,0.017892,-0.069817
0.053204,-0.18856,-0.060198,-0.20679,0.43744,-0.01952,-0.0013525,-0.060041
-0.0565,-0.010099,-0.017514,-0.031814,0.010991,-0.047874,0.016294,-0.083763
0.00024624,-0.013695,-0.012248,-0.027966,-0.046478,-0.04372,0.018997,-0.060036
-0.0028274,-0.028754,-0.016111,-0.076342,-0.0068329,-0.045544,0.02041,-0.045485
0.096996,-0.23608,-0.031029,-0.37713,-0.056455,0.04038,-0.077407,-0.0367
0.052597,-0.075255,-0.0175,-0.12781,-0.025092,-0.054103,0.022569,-0.059488
-0.025848,-0.0018647,-0.0062131,-0.014701,-0.02063,-0.033216,0.014298,-0.055824
0.014251,-0.0052059,-0.009028,-0.019607,-0.07269,-0.034857,0.013261,-0.055004
0.0092529,-0.14704,-0.045142,-0.14691,0.01724,-0.050393,0.0042166,-0.061507
0.07201,-0.063725,-0.023521,-0.080065,0.20025,-0.056478,0.022116,-0.054337
0.030636,0.013041,-0.021641,0.0094764,0.039324,-0.032286,0.0018713,-0.045056
0.033194,0.017784,-0.015926,0.01584,-0.026054,-0.016748,-0.0043301,-0.043468
0.010669,0.0063427,-0.025799,-0.008837,0.077107,-0.051519,0.013452,-0.044697
-0.0071156,-0.068467,-0.025253,-0.070849,0.35603,-0.062923,0.023235,-0.061829
0.050315,0.016264,-0.018805,0.013429,0.048015,-0.018803,-0.0034615,-0.041265
0.056373,0.019822,-0.023734,0.013912,-0.0087488,-0.012774,-0.0065709,-0.04539
0.033471,0.011219,-0.023381,0.0039642,0.062993,-0.032686,0.0038892,-0.045238
0.082469,-0.15443,-0.035307,-0.17431,-0.078169,-0.047026,0.017213,-0.047572
0.0013894,0.018295,-0.016518,0.0085935,0.10232,-0.012807,-0.0056051,-0.051037
0.022437,0.017161,-0.026817,0.016974,-0.061192,-0.022307,-0.0031329,-0.039328
0.05531,0.018307,-0.035661,0.017251,0.018748,-0.030507,-0.005724,-0.044436
0.036896,-0.011902,-0.014404,-0.037224,0.32176,-0.045008,0.013646,-0.052724
-0.040487,0.020397,-0.027608,0.017658,-0.073724,-0.024735,-0.0052862,-0.062223
0.041135,0.010201,-0.03009,0.01688,-0.083777,-0.025948,-0.0013689,-0.057931
0.016521,0.011788,-0.032425,0.019173,-0.039413,-0.026911,-0.0037488,-0.041259
0.052495,0.017898,-0.031961,0.0018228,0.064739,-0.0308,-0.0011523,-0.047866
0.027826,0.020821,-0.021594,0.016155,-0.014887,-0.023699,-0.0019238,-0.03357
0.035447,0.011574,-0.027474,0.014304,0.05949,-0.021189,-0.0068322,-0.043481
0.054207,0.013481,-0.025728,0.016991,-0.019922,-0.01437,-0.0059163,-0.042484
0.078084,0.0050634,-0.021394,-0.0067949,0.10567,-0.031464,0.0016249,-0.04388
0.050884,0.019576,-0.017686,0.0078354,0.06573,-0.019153,-0.0014692,-0.037241
0.023857,0.01209,-0.027136,0.017501,0.035725,-0.025267,-0.0040558,-0.052075
0.044449,0.00015307,-0.023661,0.0015738,-0.059931,-0.024655,-0.0024797,-0.034049
-0.0059703,0.011136,-0.031024,0.01541,0.058726,-0.018349,-0.0010613,-0.06453
0.051929,0.016918,-0.028984,0.017616,0.051883,-0.025984,-0.0052814,-0.039109
0.03778,0.0048911,-0.024333,0.0088311,0.19944,-0.028808,0.0004318,-0.042793
0.029425,-0.00054879,-0.022097,0.0058493,0.057245,-0.026784,0.00085835,-0.042092
0.05016,0.0049506,-0.031645,0.0096006,0.065443,-0.035257,-0.00021496,-0.03831
0.02923,0.01645,-0.036388,0.017141,0.12829,-0.031481,0.0027785,-0.055637
0.043404,0.0017355,-0.022115,0.0068489,0.012884,-0.023277,0.0033258,-0.038253
0.05891,-0.00019154,-0.022036,0.0076897,0.019092,-0.023236,-0.0033845,-0.040222
0.035241,0.00044136,-0.023444,0.0078492,-0.0063388,-0.028647,-1.9704e-05,-0.047678
0.05295,0.017686,-0.029146,0.016198,0.0256,-0.021506,-0.0060213,-0.048852
0.034957,-0.0014813,-0.019157,0.0010471,0.058686,-0.027453,0.0037563,-0.04943
0.060012,-0.00029119,-0.017507,0.0023867,0.091607,-0.025807,0.0026333,-0.034896
0.055972,-0.0078815,-0.015204,-0.0033491,0.03289,-0.031034,0.0060987,-0.035996
0.056682,0.01862,-0.025243,0.014147,-0.050428,-0.011197,-0.0080871,-0.042179
0.047253,-0.0054956,-0.013995,0.0042584,0.038771,-0.022741,0.0034515,-0.03153
0.048524,-0.00022548,-0.02549,0.0063904,0.13987,-0.025643,0.0040455,-0.030535
0.057201,-0.0078893,-0.013625,0.0013761,-0.053175,-0.026002,0.010666,-0.031729
0.062051,0.0095587,-0.021701,0.013637,-0.021527,-0.019827,-0.0026838,-0.043149
0.050916,-0.00091907,-0.016714,0.0055093,0.037178,-0.021524,0.0025194,-0.040428
0.061319,-0.0047654,-0.014349,-0.0008472,-0.029783,-0.029649,0.010327,-0.040679
0.033145,-0.0047973,-0.011883,0.00074966,0.025737,-0.029087,0.0073243,-0.039018
0.071954,-0.0034473,-0.020517,0.0026917,0.067169,-0.035556,0.0095117,-0.039407
0.049196,-0.0024007,-0.025023,0.003196,0.032425,-0.029472,0.0054849,-0.041033
0.034194,-0.0094273,-0.015499,-0.0014948,-0.0094236,-0.023765,0.010088,-0.042836
0.048039,-0.0090314,-0.012547,-0.0057771,0.048388,-0.0297,0.0084174,-0.037912
0.065815,-0.0074169,-0.019198,-0.00021942,-0.12544,-0.036315,0.0041671,-0.031806
0.045548,-0.0091388,-0.017068,-0.00056588,0.059211,-0.024283,0.0054093,-0.038984
0.04663,-0.01004,-0.010365,0.0015869,-0.023713,-0.029664,0.0073671,-0.041559
0.057225,-0.007832,-0.020435,-0.0042299,0.087294,-0.040424,0.012484,-0.040429
0.063333,-0.0064501,-0.014937,0.00017319,0.020861,-0.025962,0.0090373,-0.032767
0.066567,-0.011397,-0.018569,-0.0050504,0.019105,-0.032295,0.0098628,-0.042594
0.065281,-0.0062025,-0.013975,-0.007936,0.050858,-0.029043,0.0059113,-0.036793
0.055636,-0.010378,-0.014728,-0.0046661,0.034452,-0.028315,0.010664,-0.040059
0.024756,-0.010653,-0.01624,-0.010152,0.028183,-0.032135,0.0090509,-0.037799
0.06394,-0.011773,-0.014076,-0.0097834,-0.020626,-0.028122,0.010268,-0.03258
0.063534,-0.012892,-0.0085627,-0.0082556,-0.0045179,-0.025129,0.0092393,-0.032515
0.07938,-0.010538,-0.016171,-0.0077197,0.053419,-0.028445,0.010003,-0.034659
0.053343,-0.012262,-0.014055,-0.0032126,-0.051342,-0.028631,0.011256,-0.038761
0.055648,-0.0094915,-0.01654,-0.0070883,0.030557,-0.040237,0.01093,-0.040089
0.045814,-0.0088089,-0.015061,-0.0090235,0.063117,-0.033498,0.0098726,-0.032446
0.059979,-0.010606,-0.014035,-0.0053067,-0.087075,-0.033894,0.0097173,-0.033774
0.048029,-0.0090473,-0.019509,-0.010485,0.11415,-0.036682,0.0097533,-0.035748
0.072332,-0.011754,-0.013805,-0.0095786,0.049652,-0.03438,0.01084,-0.03865
0.068909,-0.007935,-0.0091681,-0.004686,-0.038429,-0.026803,0.0065321,-0.029823
0.077156,-0.01065,-0.011252,-0.0073301,-0.072939,-0.028433,0.01033,-0.032643
0.041067,-0.011743,-0.016027,-0.0061174,0.038979,-0.037673,0.010653,-0.034686
0.081171,-0.012579,-0.010254,-0.0089825,0.0031979,-0.023604,0.0089435,-0.029396
0.075018,-0.0078129,-0.011144,-0.0045334,0.060127,-0.022961,0.0075129,-0.040797
0.077719,-0.0088452,-0.0096476,-0.0032211,0.06644,-0.020468,0.007717,-0.034565
0.066969,-0.010108,-0.018298,-0.0098755,0.030559,-0.040334,0.010452,-0.034896
0.068768,-0.010067,-0.011891,-0.0024384,0.079988,-0.023876,0.010586,-0.031703
0.064735,-0.0066627,-0.016355,-0.002842,0.068028,-0.03294,0.010917,-0.029127
0.032689,-0.00015516,-0.038807,0.010507,0.19182,-0.03077,0.004201,-0.029666
0.0603,-0.0080459,-0.016897,-0.00816,0.028717,-0.036576,0.010028,-0.037563
0.075436,-0.0089157,-0.012856,-0.0019078,-0.081247,-0.023846,0.0093126,-0.031543
0.054539,-0.00542,-0.014529,0.001436,0.040114,-0.030075,0.01078,-0.028946
0.065381,-0.00551,-0.01212,-0.0028555,0.042319,-0.027749,0.0094457,-0.04018
0.061757,-0.010785,-0.013641,-0.0064702,0.048752,-0.030728,0.009443,-0.034547
0.092157,-0.0088783,-0.010586,-0.0048892,0.00087863,-0.01933,0.0074171,-0.034431
0.056115,-0.010841,-0.015068,-0.0057576,0.086616,-0.034435,0.0095808,-0.033299
0.060568,-0.010075,-0.016965,-0.0099011,0.022835,-0.037742,0.01185,-0.040033
0.057545,-0.0088524,-0.015315,-0.0059571,-0.04774,-0.036878,0.010461,-0.030451
0.060348,-0.0085626,-0.016715,-0.0069374,0.024744,-0.036974,0.010023,-0.041245
0.061037,-0.011329,-0.013262,-0.0054507,0.055703,-0.03196,0.010913,-0.037861
0.066075,-0.0098165,-0.014984,-0.010018,0.057765,-0.032892,0.009393,-0.039271
0.04357,-0.009145,-0.018982,-0.010169,0.011777,-0.040489,0.010934,-0.039378
0.047344,-0.0079335,-0.014173,-0.006251,-0.076788,-0.034931,0.011829,-0.038184
0.074467,-0.011189,-0.011244,-0.0101,0.073575,-0.029827,0.01007,-0.029421
0.069397,-0.011108,-0.0099605,-0.0059065,0.064665,-0.021963,0.0076994,-0.034306
0.065323,-0.0078703,-0.012342,-0.0058392,-0.01132,-0.031257,0.010623,-0.034781
0.059207,0.00171,-0.0093832,0.0052241,-0.0049459,-0.029808,0.0071928,-0.017431
