1.5037,0.59307,0.39216,0.026772,0.50276,1.5345,0.66339,-0.21414,1.2492
0.30669,0.34645,0.38995,0.0082144,0.33049,0.10542,0.32134,0.095667,-0.14799
0.55129,0.20066,0.45799,-0.0054455,0.26055,0.2182,0.46407,0.40719,-0.046242
0.62449,0.28387,0.56283,0.0086273,0.31102,0.24072,0.54677,0.33982,-0.047423
1.5723,0.41866,0.72712,0.038033,0.53448,2.0362,0.59332,0.79783,1.6592
1.1634,0.54529,0.56757,-0.011919,0.41907,0.39722,0.40852,-0.18406,0.016895
0.62372,0.42727,0.3518,0.010589,0.38422,0.21816,0.47455,0.43146,-0.046201
0.56738,0.19517,0.48211,0.0057225,0.26502,0.15857,0.3361,0.36105,-0.062019
0.92402,0.32778,0.64782,0.0018957,0.37048,0.68329,0.69899,-0.26919,0.34529
1.0385,0.34777,0.45663,-0.010332,0.49894,0.43672,0.64756,-0.06213,0.12471
0.48953,0.11556,0.38538,0.0040342,0.31361,0.15946,0.43015,0.34082,-0.016542
0.33555,-0.0046983,0.24954,0.00077932,0.068167,0.12635,0.14999,0.20037,-0.17841
0.48996,0.13494,0.43887,0.0022487,0.34082,0.10487,0.31899,0.27329,-0.098826
0.51278,0.15477,0.43421,0.0035927,0.1838,0.14091,0.39485,0.50621,-0.14908
0.31852,0.16424,0.40088,-0.006573,0.31216,0.04202,0.3769,-0.0046408,-0.10969
0.25072,0.20645,0.45308,-0.0010748,0.26293,0.066297,0.35386,0.14094,-0.16331
0.31998,0.24426,0.44751,-0.0048231,0.28485,0.16091,0.36664,0.52566,-0.1975
0.56472,0.43119,0.41996,0.008435,0.29491,0.25144,0.54238,0.39351,-0.0057118
0.25092,0.070379,0.36352,0.004474,0.1635,0.054615,0.27104,-0.016971,-0.20073
0.19345,0.074013,0.32443,0.0048417,0.16696,0.082654,0.31809,-0.012305,-0.13959
0.24848,-0.01245,0.082508,0.0013614,0.00042127,0.044979,0.037926,-0.03831,-0.060641
0.39823,0.2373,0.40078,-0.0053307,0.30609,0.22381,0.56501,0.46412,-0.12686
0.19503,0.21599,0.31557,-0.0065577,0.25311,0.051849,0.38773,-0.0036303,-0.18856
0.15554,0.013523,-0.13086,-0.00085134,-0.026677,0.0037827,-0.057534,-0.0078666,0.027987
0.15615,0.025502,0.22737,-0.0055181,0.16394,0.044483,0.14756,-0.004851,-0.1939
0.213,0.048067,0.3468,-0.0051482,0.22517,0.12559,0.17133,0.3392,-0.1893
0.15617,0.0019461,0.24374,-0.0031963,0.078397,0.03907,0.13347,-0.020095,-0.15143
0.12336,-0.013834,0.12701,0.0025283,0.019958,0.022829,0.067115,-6.9599e-05,-0.057249
0.1372,0.163,0.2886,0.0045097,0.26289,0.064393,0.34553,0.012668,-0.1198
0.26876,0.22872,0.29194,-0.0070486,0.35611,0.18817,0.50177,0.54119,-0.12169
0.15161,-0.021227,0.14921,0.00089593,0.034774,0.089841,0.091814,0.0090098,-0.058532
0.08608,0.1305,0.29711,0.0053794,0.17182,0.066544,0.28062,-0.020626,-0.24179
0.11901,0.0042643,-0.032441,0.0018561,0.015545,0.025703,-0.0053606,-0.0066992,-0.024287
0.23173,-0.0063282,0.013348,0.0015979,-0.003728,0.060914,0.011479,0.044585,-0.024962
0.1664,0.24491,0.40751,0.0036424,0.28212,0.058984,0.30218,-0.012801,-0.070893
0.12217,-0.078979,-0.24793,0.00028448,-0.14131,-0.0044502,-0.20728,0.0040657,0.1482
0.095444,-0.00081517,0.0027668,-0.00057499,0.0032062,0.011336,-0.0022517,-0.018077,-0.024434
0.14003,0.0036054,-0.17471,0.00098917,-0.054883,0.0089048,-0.13093,-0.006492,0.007307
0.14542,-0.008924,0.0098891,0.0020611,0.0081034,0.047491,0.0192,0.016765,-0.085337
0.08955,0.0091381,-0.0201,-0.0019705,-0.006468,0.031485,-0.015556,0.00052843,-0.073149
0.081745,0.0070137,0.0082318,0.00042886,-0.0091777,0.023856,-0.0030798,-0.021362,-0.031008
0.10884,-0.0018871,-0.001001,-0.00083079,-0.0014409,0.020651,-0.0002194,-0.0051238,0.024249
0.15628,0.093538,0.3659,0.005275,0.26577,0.094216,0.25741,0.014447,-0.08945
0.059825,0.186,0.26144,0.0025859,0.29595,0.045357,0.27174,9.0952e-05,-0.131
0.061982,0.11035,0.3224,0.0046071,0.1866,0.046111,0.22878,-0.0035793,-0.12765
0.085212,0.0071419,-0.044107,-0.0019183,0.010548,0.019179,-0.010146,-0.017362,-0.051747
0.11332,-0.013118,0.075941,-0.0014436,-0.0013127,0.035203,0.035148,-0.004249,-0.0042162
0.091705,-0.0077421,0.17388,0.0017119,0.070056,0.010619,0.12987,-0.007985,-0.019787
0.094545,-0.082655,-0.23769,-0.0045293,-0.17038,-0.025667,-0.30173,0.0012267,0.11691
0.091796,-0.0028185,-0.0075156,-0.00039764,0.00064179,-0.0094998,-0.0068833,-0.016964,0.085742
0.099747,-0.048523,-0.21826,0.0039282,-0.17655,0.017573,-0.16052,-0.0081656,0.010364
